,WaveformDecomposition.stop_methode,WaveformDecomposition.stop_region,WaveformDecomposition.threshold,WaveformDecomposition.fwhm,WaveformDecomposition.search_range,WaveformDecomposition.search_edge,MipTimeRetrieval.pe_hit_time,MipTimeRetrieval.window_length,MipTimeRetrieval.window_threshold,SystematicsStudy.threshold_tres,SystematicsStudy.range_time,MPV_1,MPV_2,MPV_3,MPV_4,TRes,TRes_shift
0,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.5,6.0,7.344393633863446,3.9659039049648186,6.497530487830393,6.191096788119107,0.8688842409952455,-0.379152712487863
1,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,4.0,1.0,0.6,6.0,7.344393633863446,3.9659039049648186,6.497530487830393,6.191096788119107,0.8018819790044436,-0.39702614178829837
2,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.5,6.0,8.4771383288825,4.140201170484033,7.445071345275929,6.739181320265454,0.8688842409952455,-0.379152712487863
3,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,4.0,2.0,0.6,6.0,8.4771383288825,4.140201170484033,7.445071345275929,6.739181320265454,0.8018819790044436,-0.39702614178829837
4,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,4.0,3.0,0.5,6.0,8.724473377977558,4.552226527459664,5.98318992436894,6.492089025965836,0.8343015543468737,-0.369981200528976
5,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,4.0,3.0,0.6,6.0,8.724473377977558,4.552226527459664,5.98318992436894,6.492089025965836,0.7404049652186953,-0.3816706861931545
6,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.5,6.0,13.5000000000848,9.99720271961348,12.126175403453242,10.47545375971953,0.8530008998506184,-0.662463493438925
7,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,12.0,1.0,0.6,6.0,13.5000000000848,9.99720271961348,12.126175403453242,10.47545375971953,2.0732034361404947,-0.7033793071048897
8,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,12.0,2.0,0.5,6.0,13.500000000949887,9.624248098371867,12.134688453206655,10.47847882544647,0.8530008998506184,-0.662463493438925
9,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,12.0,2.0,0.6,6.0,13.500000000949887,9.624248098371867,12.134688453206655,10.47847882544647,2.0732034361404947,-0.7033793071048897
10,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,12.0,3.0,0.5,6.0,13.500000000277042,9.639777517867762,12.235149559053818,10.51188204781473,0.8557656685589338,-0.6621525617407316
11,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,12.0,3.0,0.6,6.0,13.500000000277042,9.639777517867762,12.235149559053818,10.51188204781473,2.073485531164641,-0.7034929746952644
12,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,36.0,1.0,0.5,6.0,16.500000000962782,13.781017556081704,15.500000000682173,13.440968021938518,2.461141149473418,-0.6608351064372339
13,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,36.0,1.0,0.6,6.0,16.500000000962782,13.781017556081704,15.500000000682173,13.440968021938518,2.154105871938392,-0.05035944560073794
14,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,36.0,2.0,0.5,6.0,16.50000000127682,13.786417910325108,12.500000000902507,13.441343994298473,2.461141149473418,-0.6608351064372339
15,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,36.0,2.0,0.6,6.0,16.50000000127682,13.786417910325108,12.500000000902507,13.441343994298473,2.154105871938392,-0.05035944560073794
16,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,36.0,3.0,0.5,6.0,16.500000000660112,13.791158911801775,13.500000000444714,13.443098533191991,2.4600590003354155,-0.6598647570606083
17,2.0,3.0,1.5,4.0,1000.0,200.0,1.0,36.0,3.0,0.6,6.0,16.500000000660112,13.791158911801775,13.500000000444714,13.443098533191991,0.9231224861018883,-0.6669330530329974
18,2.0,3.0,1.5,4.0,1000.0,200.0,2.0,4.0,1.0,0.5,6.0,7.344393633863446,3.9659039049648186,6.497530487830393,6.191096788119107,0.8911082838462984,-0.297707028040556
